album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Flower Boy,4,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.371,0.558,0.559,7.49E-06,0.109,-9.222,0.0959,78.558,0.62,79,"Tyler, the creator"
Flower Boy,5,21yRtB6B8EMounImAfHRCP,Who Dat Boy (feat. A$AP Rocky),spotify:track:21yRtB6B8EMounImAfHRCP,0.337,0.706,0.485,0,0.122,-9.671,0.331,115.414,0.144,67,"Tyler, the creator"
Flower Boy,6,5SxlUF7J8tyFIEF22EomeP,Pothole (feat. Jaden Smith),spotify:track:5SxlUF7J8tyFIEF22EomeP,0.51,0.543,0.572,7.23E-06,0.28,-8.974,0.338,89.386,0.569,60,"Tyler, the creator"
Flower Boy,7,6ACiYjq5Q7e6BlhZEHz7cd,Garden Shed (feat. Estelle),spotify:track:6ACiYjq5Q7e6BlhZEHz7cd,0.381,0.423,0.456,0.016,0.12,-8.45,0.0579,112.984,0.148,61,"Tyler, the creator"
Flower Boy,8,5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),spotify:track:5WNYg3usc6H8N3MBEp4zVk,0.79,0.559,0.578,0.000522,0.324,-9.54,0.151,79.938,0.239,72,"Tyler, the creator"
Flower Boy,9,430qNtapCS3Ue1yoSql1oV,I Ain't Got Time!,spotify:track:430qNtapCS3Ue1yoSql1oV,0.0539,0.549,0.725,3.52E-05,0.148,-7.239,0.397,108.822,0.547,60,"Tyler, the creator"
Flower Boy,10,4bEcoz1OcfMgUbp2ft8ieQ,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,0.0456,0.48,0.61,0,0.313,-7.042,0.305,90.034,0.297,70,"Tyler, the creator"
Flower Boy,11,39u2PsqrAZpZ0KPx6CjasV,Droppin' Seeds (feat. Lil' Wayne),spotify:track:39u2PsqrAZpZ0KPx6CjasV,0.103,0.401,0.532,0,0.478,-11.554,0.508,84.777,0.413,56,"Tyler, the creator"
Flower Boy,12,4XDpeWqPADoWRKcUY3dC84,November,spotify:track:4XDpeWqPADoWRKcUY3dC84,0.354,0.547,0.759,2.15E-05,0.676,-7.039,0.413,91.85,0.575,61,"Tyler, the creator"
Flower Boy,13,0qtK3XwbuG153dmwB8iepL,Glitter,spotify:track:0qtK3XwbuG153dmwB8iepL,0.306,0.449,0.434,2.76E-06,0.633,-11.777,0.243,78.57,0.371,69,"Tyler, the creator"
