name,id,album,artist,energy,danceability,loudness,instrumentalness,popularity,labels
Angry Heart (2009 Remaster),4E4JPscABs5ybPlcoKOFI8,Seventh Star,Black Sabbath,0.564,0.5710000000000001,-11.049000000000001,1.42e-05,0,0
In Memory (2009 Remaster),74e7UMAqxzIV7BBzBxyNlU,Seventh Star,Black Sabbath,0.489,0.491,-12.362,0.00205,0,0
The Shining (2009 Remaster),5LbdKIvdc1sfnhi40WKemM,The Eternal Idol,Black Sabbath,0.722,0.414,-11.642000000000001,0.0028899999999999998,0,0
Ancient Warrior (2009 Remaster),7vPRFBJJqZkPUSGvAYF6vU,The Eternal Idol,Black Sabbath,0.795,0.48100000000000004,-9.401,3.99e-06,0,0
Hard Life to Love (2009 Remaster),4wd0L3u5ED0ZsYXYIIol6U,The Eternal Idol,Black Sabbath,0.8909999999999999,0.382,-9.394,4.45e-05,0,0
Glory Ride (2009 Remaster),2LQ82iv6k0UfowAHE0bwag,The Eternal Idol,Black Sabbath,0.8370000000000001,0.324,-9.626,1.15e-06,0,0
Born to Lose (2009 Remaster),293r3MFEmWZQr0mHguCn9M,The Eternal Idol,Black Sabbath,0.9259999999999999,0.361,-9.202,0.000935,0,0
Nightmare (2009 Remaster),48fNorMR9KyvXLOF7knUWp,The Eternal Idol,Black Sabbath,0.715,0.461,-10.878,0.0112,0,0
Lost Forever (2009 Remaster),69kJDhYSPY7dHSbT3QaZlY,The Eternal Idol,Black Sabbath,0.904,0.371,-11.065,0.061,0,0
Eternal Idol (2009 Remaster),3HeQcaF7NRv99GyPlKXrP6,The Eternal Idol,Black Sabbath,0.45,0.308,-12.046,0.0101,0,0
End Of The Beginning,3QbnMRadaXqmlghaglLAit,13,Black Sabbath,0.882,0.308,-4.039,0.0939,45,0
God Is Dead?,3IKJNHnVZ2bXGjAFBJiUYo,13,Black Sabbath,0.726,0.379,-4.935,0.00266,53,0
Loner,1PZ3DwxBYzuRYXt2fpomfY,13,Black Sabbath,0.873,0.469,-3.07,0.00716,47,0
Zeitgeist,4HFRItYjNrcwT6Vbtbk2i4,13,Black Sabbath,0.252,0.484,-12.774000000000001,0.0399,45,0
Age Of Reason,0BfFxZfRGcf6FOCpZ75tr0,13,Black Sabbath,0.8270000000000001,0.314,-4.021,0.29100000000000004,42,0
Live Forever,21t1bdwV3pEawdK9OhsauX,13,Black Sabbath,0.885,0.341,-3.4760000000000004,0.0154,34,0
Damaged Soul,3gY381aWseWtDcnanY9n6u,13,Black Sabbath,0.7509999999999999,0.36700000000000005,-4.862,0.509,36,0
Dear Father,3zjDIbQ3lLWXekq1PBVYM9,13,Black Sabbath,0.943,0.41600000000000004,-4.313,0.0024100000000000002,33,0
Methademic,0Gnx4WTUEUxA6WBETrp3yJ,13,Black Sabbath,0.9620000000000001,0.409,-3.713,0.021,33,0
Peace Of Mind,3I28TfbHcWVhCKxmCIhs9F,13,Black Sabbath,0.8170000000000001,0.341,-3.9960000000000004,0.00365,34,0
Pariah,79muBjOf7N6akgrEJuik6R,13,Black Sabbath,0.851,0.48200000000000004,-2.821,0.0265,41,0
Dirty Women - Live in Australia / 2013,0ssM0AZdWKEEaqPTHzwYWl,13,Black Sabbath,0.95,0.23,-3.707,0.0616,29,0
