album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Seventh Star,1,2aUcyJK0GcJM9EO51AMr6g,In for the Kill (2009 Remaster),spotify:track:2aUcyJK0GcJM9EO51AMr6g,0.00168,0.427,0.894,7.58e-05,0.28,-10.58,0.0542,79.936,0.21,0,Black Sabbath
Seventh Star,2,2ygXPctQz2DlDqKONcPGDE,No Stranger to Love (2009 Remaster),spotify:track:2ygXPctQz2DlDqKONcPGDE,0.148,0.363,0.518,0.000136,0.0824,-11.787,0.0366,125.976,0.2,0,Black Sabbath
Seventh Star,3,4Lednl6dolMVcpobnmiWmJ,Turn to Stone (2009 Remaster),spotify:track:4Lednl6dolMVcpobnmiWmJ,0.00282,0.389,0.906,0.105,0.173,-11.237,0.0848,123.092,0.349,0,Black Sabbath
Seventh Star,4,24NaS7DAteuLDyG2jFOBCQ,Sphinx (The Guardian) (2009 Remaster),spotify:track:24NaS7DAteuLDyG2jFOBCQ,0.825,0.128,0.00358,0.986,0.261,-28.66,0.0517,92.94,0.0347,0,Black Sabbath
Seventh Star,5,324l7ddI3bqcBz8yn6GY9W,Seventh Star (2009 Remaster),spotify:track:324l7ddI3bqcBz8yn6GY9W,0.00678,0.429,0.735,0.000734,0.105,-12.037,0.0329,80.398,0.321,1,Black Sabbath
Seventh Star,6,0Dq97Mb8lpaFmspDhj2sQ6,Danger Zone (2009 Remaster),spotify:track:0Dq97Mb8lpaFmspDhj2sQ6,0.0125,0.45,0.861,0.00148,0.165,-10.542,0.054,139.186,0.322,1,Black Sabbath
Seventh Star,7,2f6GDlSnczeItA6qQmorwl,Heart Like a Wheel (2009 Remaster),spotify:track:2f6GDlSnczeItA6qQmorwl,0.00891,0.457,0.734,0.062,0.0549,-11.273,0.0441,98.002,0.426,0,Black Sabbath
Seventh Star,8,4E4JPscABs5ybPlcoKOFI8,Angry Heart (2009 Remaster),spotify:track:4E4JPscABs5ybPlcoKOFI8,0.0114,0.571,0.564,1.42e-05,0.144,-11.049,0.0303,101.582,0.745,0,Black Sabbath
Seventh Star,9,74e7UMAqxzIV7BBzBxyNlU,In Memory (2009 Remaster),spotify:track:74e7UMAqxzIV7BBzBxyNlU,0.241,0.491,0.489,0.00205,0.0947,-12.362,0.0266,101.5,0.149,0,Black Sabbath
The Eternal Idol,1,5LbdKIvdc1sfnhi40WKemM,The Shining (2009 Remaster),spotify:track:5LbdKIvdc1sfnhi40WKemM,0.0217,0.414,0.722,0.00289,0.22,-11.642,0.0324,98.6,0.48,0,Black Sabbath
The Eternal Idol,2,7vPRFBJJqZkPUSGvAYF6vU,Ancient Warrior (2009 Remaster),spotify:track:7vPRFBJJqZkPUSGvAYF6vU,0.00405,0.481,0.795,3.99e-06,0.0711,-9.401,0.0323,109.671,0.353,0,Black Sabbath
The Eternal Idol,3,4wd0L3u5ED0ZsYXYIIol6U,Hard Life to Love (2009 Remaster),spotify:track:4wd0L3u5ED0ZsYXYIIol6U,0.000224,0.382,0.891,4.45e-05,0.323,-9.394,0.0429,145.403,0.565,0,Black Sabbath
The Eternal Idol,4,2LQ82iv6k0UfowAHE0bwag,Glory Ride (2009 Remaster),spotify:track:2LQ82iv6k0UfowAHE0bwag,0.00048,0.324,0.837,1.15e-06,0.301,-9.626,0.045,117.396,0.531,0,Black Sabbath
The Eternal Idol,5,293r3MFEmWZQr0mHguCn9M,Born to Lose (2009 Remaster),spotify:track:293r3MFEmWZQr0mHguCn9M,0.000398,0.361,0.926,0.000935,0.327,-9.202,0.0367,153.677,0.646,0,Black Sabbath
The Eternal Idol,6,48fNorMR9KyvXLOF7knUWp,Nightmare (2009 Remaster),spotify:track:48fNorMR9KyvXLOF7knUWp,0.00527,0.461,0.715,0.0112,0.206,-10.878,0.0362,139.446,0.268,0,Black Sabbath
The Eternal Idol,7,34NqoEpKZEVgMfGzTkL5WJ,Scarlet Pimpernel (2009 Remaster),spotify:track:34NqoEpKZEVgMfGzTkL5WJ,0.798,0.553,0.288,0.591,0.116,-18.159,0.0345,81.321,0.516,0,Black Sabbath
The Eternal Idol,8,69kJDhYSPY7dHSbT3QaZlY,Lost Forever (2009 Remaster),spotify:track:69kJDhYSPY7dHSbT3QaZlY,0.000183,0.371,0.904,0.061,0.037,-11.065,0.0502,89.14,0.145,0,Black Sabbath
The Eternal Idol,9,3HeQcaF7NRv99GyPlKXrP6,Eternal Idol (2009 Remaster),spotify:track:3HeQcaF7NRv99GyPlKXrP6,0.0291,0.308,0.45,0.0101,0.105,-12.046,0.0316,122.451,0.11,0,Black Sabbath
